, Tweet,TweetClean_NonPT,TweetClean_PT
103,"@IndosatCare ini kenapa paket internet skrg cepet banget abisnya ya? Biasanya saya Freedom L bisa 1 bulan, tp ini 2 mingguan udah abis. Sabtu kmrn nambah extra kuota 2GB tapi skrg sudah abis jg. Padahal cm buka sosmed dan ga lama2. Gak masuk akal!pic.twitter.com/5C05ep9bUZ",paket internet cepet banget freedom minggu sabtu kemarin extra kuota gb sosmed,paket internet cepet banget freedom minggu sabtu kemarin extra kuota gb sosmed
104,"Tolong sinyal Indosat di daerah Chase Plaza, Grand Indonesia, dan Pasaraya Blok M dioptimalkan ya supaya saya bersemangat terus menggunakan layanan kalian ",sinyal daerah indonesia pasaraya blok ya semangat layan,sinyal daerah indonesia pasaraya blok ya semangat layan
105,"@IndosatCare pulsa gw udah kepotong 100 tp paket belum ada wey, udah dari senin ampe sekarang belum ada juga, nelp cs cuma bisa bilang dibantu dipercepat, apanya yg dipercepat ya? hello pic.twitter.com/G1TNEAc2mX",pulsa bilang ya hello,pulsa bilang ya hello
106,@IndosatCare bagaimana tindak lanjutnya kalau seperti ini ? Padahal isi sms yg terkirim sama tapi yg satunya gagal registrasipic.twitter.com/Fjgr6m3Ioa,isi sms kirim,isi sms kirim
107,"Makasih atas bantuannya, sekedar masukan kalo bisa cs di galeri indosat Tulungagung di tambah. Setiap hari antrian membludak sampe luar kantor. Saya antri sampau 1 jam lebih",sekedar cs galeri antrian membludak kantor antri sampau jam,sekedar cs galeri antrian membludak kantor antri sampau jam
108,@IndosatCare Kenapa sinyal indosat di daerah bekasi lemot banget?! Sinyal ilang-ilangan terus kaya main petak umpet,sinyal daerah bekasi banget sinyal ilang ilangan petak umpet,sinyal daerah bekasi banget sinyal ilang ilangan petak umpet
109,@IndosatCare halo kok pulsa saya hangus? Ini yang tersisa tinggal 5k aja isi barusan. Perasaan saya cek kemarin masih ada 15k -an. Hilang kemana pulsa 15k saya?pic.twitter.com/OBHKwk6mDt,halo pulsa hangus sisa isi barusan cek kemarin an kemana pulsa,halo pulsa hangus sisa isi barusan cek kemarin an kemana pulsa
110,"@IndosatCare min, ini maksudnya gimana ya unlimited youtube harus di claim di applikasi myim3pic.twitter.com/RkxmCsj1Qv",min applikasi,min applikasi
111,@IndosatCare  saya coba buat purchase line sticker using pulsa tp setelah saya kirim code via sms saya tdk mendapat balasan apa2 lg dan tdk bisa purchase sticker tsb. Knp y ini? Sy ud cb berkali2 ttp gabisa.pic.twitter.com/L4POcJpbDc,,
112,"@IndosatCare eh aku g mau tahu ya tolong dibenahi dong manajemennya kemarin aku masalah dengan tiba2 Pulsaku ilang, skg masalah kayak gini apaan sih ini ngeselin",ya manajemennya kemarin pulsaku ilang skg,ya manajemennya kemarin pulsaku ilang skg
113,"@IndosatCare hae kak, paket unlimited apps itu ada batas penggunaan data aplikasi perhari apa gak ya? Soalnya tak pakai Spotify-an belum ada 250mb pemakaian kok udah dapat sms notifikasi bahwa pemakaian udah nyampe segitu. Tolong gak usah minta penyelesaian di dm. Makasih.",batas data aplikasi perhari ya mb sms notifikasi nyampe dm,batas data aplikasi perhari ya mb sms notifikasi nyampe dm
114,"Sore kak Amir, maaf atas late responnya ya dan sudah kami update untuk hal yang dialaminya lewat DM. Salam ^iwan",sore kak amir salam iwan,sore kak amir salam iwan
115,udah tapi tetep aja gaada perubahan,,
116,"@IndosatCare hi, saya mau nanya apa benar ini nomor dari Pihak indosat? Kemarin dia menelpon saya menawarkan sesuatu tapi langsung saya matikan dan dia nelpon lagi. Terimakasih mohon responnya :)pic.twitter.com/DLTcjCbC6O",nanya nomor kemarin menelpon nelpon terimakasih mohon,nanya nomor kemarin menelpon nelpon terimakasih mohon
117,"@IndosatCare kak aku abis maketin yang yellow 2.500 baru bgt
trus aku make download eh pulsaku kesedot padahal kuotanya msh bnyk diatas 500mb itu knpa ya?",maketin kuotanya diatas mb ya,maketin kuotanya diatas mb ya
118,"@IndosatCare jadi saya isi ulang 75rbu dan krn saya pakai iOS saya mau daftar paket freedom combo M 55rbu yg biasa, entah knp ggal terus kemudian coba daftar yg paketan baru yg ada free apps usage 70rbu dan bisa. Ini emang dialihkan ato gmn? Soalny free youtube kan cuma android.pic.twitter.com/wcN7u6H2ON",isi pakai ios daftar paket freedom combo ggal daftar paketan bagamana,isi pakai ios daftar paket freedom combo ggal daftar paketan bagamana
119,Udah di dm ya,dm ya,dm ya
120,"@IndosatCare @YLKI_ID  min, gimana ya kelanjutannya min, saya sudah dm dan lain lain. Saya butuh sekali pulsanya secepatnya min, untuk registrasi paket internet lagi. saya harus tunggu berapa lama ya min??? tolong kabari ya admin secepatnyaa donggg",id min ya min dm kali min registrasi paket internet ya min kabari ya admin secepatnyaa,id min ya min dm kali min registrasi paket internet ya min kabari ya admin secepatnyaa
121,@IndosatCare kuota sama masih kenapa pulsa kemakan 90rb katanya pemakaian internet??? Sudah saya DM bukti2nya saya tunggu jawabannya,kuota pulsa rb internet dm,kuota pulsa rb internet dm
122,Udah lewat dari estimasi. Estimasi jam 6 pagi. Sampai sekarang pulsa blm dikembalikan dan paket internet juga blm masuk. Mau alasan apa lagi kalian?,estimasi estimasi jam pagi pulsa paket internet,estimasi estimasi jam pagi pulsa paket internet
123,"@IndosatCare  hi, nonor adek saya sudah dari kemarin sinyalnya hanya E, padahal kita pake family combo berlima, dan hanya dia yang begitu.
Sudah di restart sampai 3 kali, sudah matikan setengah jam, gabisa juga.
bisa dibantu?",nonor adek kemarin kali jam gabisa,nonor adek kemarin kali jam gabisa
124,Mau sampai kapan min? Sampai pelanggannya pindah ke provider lain?,min langgan kah,min langgan kah
125,"@IndosatCare mohon bantuannnya pada keaempatan pertama, sinyal selalu hilang saat masuk kerumah dan baru terjadi pada beberapa hari kebelakang. Mohon bantuannya pada kesempatan pertam. Many thnxpic.twitter.com/6eupjVPEN4",keaempatan sinyal kerumah kebelakang,keaempatan sinyal kerumah kebelakang
126,"Min, waktu sy ngaktifin data pertama kalinya setelah registrasi berhasil kenapa langsung ada sms kek gitu? Pdhl blm dipakai sama sekali -__-pic.twitter.com/JacDnyGhWp",min ngaktifin data kalinya registrasi hasil sms,min ngaktifin data kalinya registrasi hasil sms
127,"@IndosatCare  tolong dijelaskan ini maksudnya gimana ya,  topup pulsa 50.000 berhasil,  tapi disitu tertulis ""pulsa anda saat ini Rp. 0. Itu maksudnya gimana ya?  Dari dulu selalu begitu,  gak ada kepengen untuk ngebenerin gitu? pic.twitter.com/NQKfSHg3eH",topup pulsa hasil pulsa rp kepengen ngebenerin,topup pulsa hasil pulsa rp kepengen ngebenerin
128,"@IndosatCare selamat malam indosat. Tolong dijawab dengan cepat, ini no.saya 085600923244. Kemaren tgl 21 januari saya pakai paket 1gb/hari yg Rp.1000, saya registrasi pukul 8.30pm. Pulsa saya 25 ribu di jam 3.pm tgl 22 januari HABIS g tau kenapa. Mohon penjelasannya.",selamat malam tolong kemaren tgl januari paket gb registrasi pulsa jam tgl januari habis mohon,selamat malam tolong kemaren tgl januari paket gb registrasi pulsa jam tgl januari habis mohon
129,"@IndosatCare Saya merasa dirugikan berupa pulsa langsung habis karena paket tiba tiba tidak aktif pada pukul 14.41, padahal harusnya non aktif pada pukul 15.08. Bagaimana menurut kakak admin tentang kejadian tragis ini?pic.twitter.com/BIRQGa1Abv",rupa pulsa paket kakak admin,rupa pulsa paket kakak admin
130,"@IndosatCare min kenapa pulsa indosat saya kalo habis ngisi pulsa pasti nyedot terus ya min , padahal ga pake internet juga :( ga pernah neko neko",min pulsa ngisi pulsa nyedot ya min internet,min pulsa ngisi pulsa nyedot ya min internet
131,"SMS penipuan/ penyesatan pelanggan tsb dikirim oleh 
0858.1697.0335

Mohon Content Provider *567*15# dikenakan sanksi karena menjalankan bisnisnya secara sangat tidak etis/ menipu

@aduanBRTI
@kemkominfo
@rudiantara_idpic.twitter.com/Qj8O1uA9TY",sms tipu sesat langgan sanksi jalan kemkominfo,sms tipu sesat langgan sanksi jalan kemkominfo
132,"Mohon panduan bgmn hentikan langganan terkait *567*15#

Ini sdh termasuk penipuan pelanggan
@aduanBRTI
@kemkominfo
@rudiantara_id",langgan tipu langgan kemkominfo rudiantara,langgan tipu langgan kemkominfo rudiantara
133,"@IndosatCare saya menerima SMS terlampir.
Mhn info proses apa yg terkait *567*15# dan kaitannya dgn kewajiban saya sbg pelanggan.
Tks
@aduanBRTI
@kemkominfo
@rudiantara_idpic.twitter.com/TYFGMRyypm",sms lampir mohon info proses kait langgan tks kemkominfo,sms lampir mohon info proses kait langgan tks kemkominfo
134,"@IndosatCare Saat mendaftar indosat yellow tertera bahwa jika mendaftar paket indosat yellow 1gb berlaku untuk 24 jam. Tp kenapa bisa ada pernyataan via dm kalau data harus dimatikan 1-2jam sebelum waktu pemakaian habis?krn tidak ada pemberitahuan dr awal,saya tau pun jg via dmpic.twitter.com/BEX6eoN7ZI",daftar jam dm data pakai dokter,daftar jam dm data pakai dokter
135,"Min, ada saran provider lain gak yg lebih bagus kualitas sinyalnya. Di sini pake indosat lelet banget",min saran provider kualitas,min saran provider kualitas
136,"@IndosatCare awalnya saya pengen DM tapi kayaknya bakal lebih cepet di notis kalo lewat mention langsung. Ini app myIm3 udah berbulan"" kayak gini gimana ya? Sejak di update gabisa load status terus. Saya jadi gabisa mantau kuota saya lewat app. Tolong responnya ya, makasih.pic.twitter.com/RwC6JNwgMA",gini ya gabisa load status gabisa kuota app,gini ya gabisa load status gabisa kuota app
137,dipketn pulsnya tinggal 4000 trs mlm tiba2 jadi 2800. Siang tadi blm jam 12.42 pktan distop pdhal bts akhrnya 13.12 dan pls hbs,dipketn malam siang jam pktan tolong,dipketn malam siang jam pktan tolong
138,@IndosatCare @Telkomsel @myXL @myXLCare sinyal ampas tarif mahalhttps://twitter.com/AfnanAssagav/status/955321222224527363 …,telkomsel myxl sinyal tarif,telkomsel myxl sinyal tarif
139,@IndosatCare min ini apaan baru juga daftar kuota paket yellow jam 11.18 masa jam 11.24 paket nya udh di jon aktifkan pulsa saya 6K ludes langsung. Kmvrt bener anjirr dah. Padahal baru di pake buka WA doang. Kmvrt bener ini Indosatpic.twitter.com/j2mrfXpJog,min daftar kuota jam jam paket nya pulsa ludes anjirr wa,min daftar kuota jam jam paket nya pulsa ludes anjirr wa
140,Iya cuman omong kosong itu tapi kenyataannya gak ada,iya cuman kosong,iya cuman kosong
141,Kurang memuaskan pelayanannya mas @IndosatCare karena mungkin banyak yg komplain makanya  pada bingung semua operatornya?,layan mas,layan mas
142,"Sudah dicoba dan tetap gak bisa nih, ada alternatif solusi yang lain gak?",nih alternatif solusi,nih alternatif solusi
143,Jadi setelah kuota utama habis tidak bisa dipakai download ya ?,kuota download ya,kuota download ya
144,"@indosatcare Admin, tolong dibantu perpanjangan paket internet saya knp gagal? Padahal pulsa cukup & tdk dalam masa tenggang?pic.twitter.com/cTTFFfmMIW",admin paket internet pulsa,admin paket internet pulsa
145,"@IndosatCare koneksi internet saya kenapa cuman sebatas 34 kb/s ya, 
Mohon bantuannya, terimakasih",koneksi internet cuman sebatas kb ya mohon,koneksi internet cuman sebatas kb ya mohon
146,"@IndosatCare ini gimana ya, sinyalnya nggak stabil.. baru yg 3g ini~ yg 4g malah ngilang udah..pic.twitter.com/DRJ9jVIeN7",,
147,"@IndosatCare mohon ditanggapi/ditindak lanjuti masalah yang sudah sy DM,cs *indy  bagaimana solusi/penangannya?",mohon solusi,mohon solusi
148,"@IndosatCare Min, untuk paket Freedom Combo M itu dapet Spotify gratis kan ya 1 bulan, kenapa waktu saya daftar malah ditagih pulsa lagi?pic.twitter.com/zx47CTy0mJ",min ya daftar pulsa,min ya daftar pulsa
149,"Boro amat sinyal internet... Buat sinyal telpon aja ilang semua... Udh hr keberapa ini, minta penanganan bkn makin baik malahan makin jelek. Percuma amat.pic.twitter.com/8gy1SQ6cBU",boro sinyal internet sinyal telpon ilang tangan jelek,boro sinyal internet sinyal telpon ilang tangan jelek
150,Sinyal 4g di wilayah trucuk Klaten harap di perbaiki hilang2 sinyalnya..,sinyal wilayah trucuk klaten sinyalnya,sinyal wilayah trucuk klaten sinyalnya
151,"@IndosatCare mohon sinyal 4g di daerah klaten kota seputaran unwidha dan gor klaten diperbaiki
Dikarenakan tidak stabil kadang 3g.
Kadang juga tak ada sinyal.",mohon sinyal daerah klaten kota unwidha gor klaten kadang sinyal,mohon sinyal daerah klaten kota unwidha gor klaten kadang sinyal
152,"@IndosatCare saya mau tanya. Di salah satu opsi pilihan pembelian paket data tertera seperti di gambar ini, ada keterangan ""2 GB Akses Aplikasi dan Youtube sepuasnya, Data Rollover"". Pertanyaan saya: 2 GB Akses aplikasi, apa untuk semua aplikasi, dan Data Rollover itu apa?pic.twitter.com/UX3gsVe3Pz",opsi paket data tera gambar terang gb akses aplikasi youtube sepuasnya data akses aplikasi aplikasi data,opsi paket data tera gambar terang gb akses aplikasi youtube sepuasnya data akses aplikasi aplikasi data
153,"Tolong ada notif dong, misal sisa 100 mb kasih notif, operator seblh masih 400 mb aj ada notif, terus muncul terus sampe kuota habis. Jd bisa kira2 kita",notif sisa mb kasih operator mb kuota,notif sisa mb kasih operator mb kuota
154,"Hehehehe, sudah 6 hari dan saya masih bertahan dengan indosat. Apa ada masukan lain selain pengaturan network dan menunggu update?pic.twitter.com/pcmGL4thmj",tahan atur network,tahan atur network
155,Saya gak bisa daftar paket padahal pulsa msh cukup!! Dpt sms pulsa anda tdk cukup,paket pulsa sms pulsa,paket pulsa sms pulsa
156,"@IndosatCare kenapa masa aktif paketan yellow masih berlaku tapi sejam sebelum paketan abis paketannya sudah tidak aktif? Mohon pulsa saya dikembalikan, nominalnya memang tak seberapa tapi untuk anak kos itu sangat berharga. Terima kasih.pic.twitter.com/wJyuqiaPXz",paketan laku paketan mohon pulsa nominalnya anak kos harga,paketan laku paketan mohon pulsa nominalnya anak kos harga
157,"@IndosatCare min, keluhan biasa. Gk bisa beli paket manual. Sudah saya prefer ke 3G dan off data seluler tapi balesannya tidak berhasil.
Thankyou min.pic.twitter.com/nbBgdMayBN",min data seluler balesannya hasil thankyou,min data seluler balesannya hasil thankyou
158,"@IndosatCare Selamat malam. HP saya tidak bisa konek internet, baru diinstall ulang. Bagaimana cara pengaturan APN indosat secara manual? Sudah mencoba SMS ke 3000 (gprs tipe hp) juga tetap gagal.",selamat malam hp konek internet diinstall atur apn sms kah,selamat malam hp konek internet diinstall atur apn sms kah
159,"Sudah saya coba berkali2 dan tetap tidak bisa. Saya lihat ada beberapa orang yang mengeluhkan hal yang sama hari ini, coba dicek deh apakah ada gangguan untuk registrasi paket internet, dan segera perbaiki karena ini mengganggu sekali dan sudah sering sekali terjadi.pic.twitter.com/GOSvMszmEG",manusia dicek registrasi paket internet,manusia dicek registrasi paket internet
160,"Sinyal 4G penuh tapi kecepatan dibawah 20KB/s saya coba di sinyal 3G jg sama, di sinyal E lebih parah, saya sempat tanya pengelola gedung katanya sudah follow up ke provider jg, tolong ya min dibuatkan laporannya, biar semakin mantap indosatnya ",sinyal kb sinyal sinyal gedung ya min lapor,sinyal kb sinyal sinyal gedung ya min lapor
161,"@IndosatCare min simcard saya kenapa y dari tadi pagi-skrg di pakai telefon , sms gak bisa ( saldo tidak mencukupi ) tapi saldo saya masih ada 19rb (masa aktif jg masih lama )pic.twitter.com/0t0tNTzlH2",min simcard pagi telefon sms saldo saldo rb,min simcard pagi telefon sms saldo saldo rb
162,@IndosatCare halo ini saya mau daftar paket yellow daritadi gak bisa-bisa. Udah ada balasan tapi ga aktif juga. Udah daritadi siang.pic.twitter.com/L5oqOPZDq5,balas,balas
163,@IndosatCare apps myim3 ini gimana cara sign upnya sih? Saya mau sign up di bilang udh ada id terus bisa masuk. Tapi tiba2 keluar lagi di suruh login lagi tsrus saya coba sign uo lagi malah kaya gini keluarnyapic.twitter.com/ev8jJvmMPJ,apps login,apps login
164,"Halo Joko. Deskripsi paket memang harus diperjelas. Even itu mau paket termahal dan atau termurah-pun juga begitu. Dulu sih perpanjang otomatis. Ahihihi

Kali ini pengguna harus atur strategi deh~pic.twitter.com/HWZcdBYHeG",halo joko deskripsi paket diperjelas even paket termahal termurah sih perpanjang kali atur strategi,halo joko deskripsi paket diperjelas even paket termahal termurah sih perpanjang kali atur strategi
165,"@IndosatCare Terus2an deh, mau registrasi paket 55k dibilang ngga cukup pulsa. Seriously wth is wrong w/ your system?pic.twitter.com/uANuODWNNS",registrasi paket dibilang pulsa,registrasi paket dibilang pulsa
166,"saya udah ke gerai solusi cuma ganti kartu, udah ganti kartu dan di coba di 3 hp berbeda itu kartu baru masalah masih sama, ini problem disistem tolong cekpic.twitter.com/ULtql2yK9e",solusi ganti kartu ganti kartu hp kartu problem disistem,solusi ganti kartu ganti kartu hp kartu problem disistem
167,"Saya sudah dm, sudah ke gallery indosat juga, tapi sampai skrg belum ada tindak lanjut yg jelas, nomor saya masih terblokir. SANGAT MENGECEWAKAN!!",dm kah nomor terblokir kecewa,dm kah nomor terblokir kecewa
168,@IndosatCare min. Pulsa saya ke potong 16rb. Padahal kuota masih 300mb aktif sampe jam 14:23. Tapi tadi kepotong gitu aja. Tlong ya minpic.twitter.com/5jwbzBVEHK,min pulsa kah rb kuota mb jam ya,min pulsa kah rb kuota mb jam ya
169,"@IndosatCare kebiasaan bangeet setiap isi pulsa kepotong ga jelas, Tanpa pernah registrasi. @IndosatCare keamanan nya kurang bangeet ini udah yg kesekian kali!pic.twitter.com/ZQHBQYKTST",bangeet isi pulsa registrasi nya bangeet kesekian,bangeet isi pulsa registrasi nya bangeet kesekian
170,"@IndosatCare min saya sudah pasang paket lain cuma saya masih dapet sms seperti gambar dibawah, dan pulsa saya kepotong dr 7500 jd 5300 (diluar biaya paket) pdhl saya gak telepon atau sms. Mohon infonya pic.twitter.com/fTySof7kQx",min pasang paket dapet sms gambar dibawah pulsa dokter diluar biaya,min pasang paket dapet sms gambar dibawah pulsa dokter diluar biaya
171,@IndosatCare ka kok aku setiap mau daftar paket freedom combo xxl gini terus ya pdhl pulsanya ada. Atau pulsanya harus lebih lagi dr ini?pic.twitter.com/faDi7Vwuf3,ka daftar paket freedom combo xxl gini ya,ka daftar paket freedom combo xxl gini ya
